"";"genes"
"592";"CNTNAP2"
"593";"UBE3C"
"594";"UBE3C"
"595";"UBE3C"
"596";"ASAH1"
"597";"ASAH1"
"598";"ASAH1"
"599";"ASAH1"
"600";"DPYSL2"
"601";"DPYSL2"
"602";"C8orf41"
"603";"C8orf41"
"604";"C8orf41"
"605";"C8orf41"
"606";"FNTA"
"607";"FNTA"
"608";"FNTA"
"609";"FNTA"
"610";"STMN2"
"611";"PDP1"
"612";"PDP1"
"613";"MTBP"
"614";"MTBP"
"615";"MYC"
"616";"MYC"
"617";"MYC"
"618";"MYC"
"619";"LRRC6"
"620";"LRRC6"
"621";"TSNARE1"
"622";"TSNARE1"
"623";"TSNARE1"
"624";"PYCRL"
"625";"IL33"
"626";"IL33"
"627";"DNAJA1"
"628";"DNAJA1"
"629";"CHMP5"
"630";"CHMP5"
"631";"CCDC107"
"632";"CCDC107"
"633";"ALDH1A1"
"634";"OSTF1"
"635";"OSTF1"
"636";"OSTF1"
"637";"PRUNE2"
"638";"CENPP"
"639";"CENPP"
"640";"CENPP"
"641";"KLF4"
"642";"KLF4"
"643";"KLF4"
"644";"KIF12"
"645";"KIF12"
"646";"STOM"
"647";"STOM"
"648";"KIAA0310"
"649";"UAP1L1"
"650";"CACNA1F"
"651";"PJA1"
"652";"PJA1"
"653";"PJA1"
"654";"MED12"
"655";"MED12"
"656";"MED12"
"657";"RBM41"
"658";"RBM41"
"659";"NUP62CL"
"660";"NUP62CL"
"661";"CHRDL1"
"662";"CHRDL1"
"663";"CHRDL1"
"664";"CHRDL1"
"665";"CHRDL1"
"666";"PGRMC1"
"667";"NKAP"
"668";"NKAP"
"669";"SH2D1A"
"670";"SH2D1A"
"671";"SH2D1A"
"672";"SH2D1A"
"673";"ODZ1"
"674";"HMGB3"
"675";"HMGB3"
"676";"BGN"
"677";"BGN"
"678";"MMEL1"
"679";"ZBTB48"
"680";"ZBTB48"
"681";"ORC1L"
"682";"CLCA4"
"683";"CLCA4"
"684";"CLCA4"
"685";"BRDT"
"686";"DNTTIP2"
